ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6340588,HP427898,7/1/2008 20:45,0000X N WABASH AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,122,1,42,32,6,1176806,1900539,2008,2/4/2016 6:33,41.88242524,-87.62622133,"(41.882425241, -87.626221334)"
6340590,HP427120,7/1/2008 1:55,037XX W OHIO ST,1661,GAMBLING,GAME/DICE,SIDEWALK,TRUE,FALSE,1122,11,27,23,19,1151423,1903743,2008,2/4/2016 6:33,41.89175344,-87.71934408,"(41.89175344, -87.719344084)"
6340593,HP428605,6/30/2008 15:30,007XX E 88TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,632,6,6,44,26,1182632,1846790,2008,2/4/2016 6:33,41.73480006,-87.60649766,"(41.734800055, -87.606497662)"
6340594,HP428836,7/1/2008 0:00,030XX N CENTRAL PARK AVE,870,THEFT,POCKET-PICKING,SIDEWALK,FALSE,FALSE,1412,14,35,21,6,1151871,1919566,2008,2/4/2016 6:33,41.93516438,-87.71728137,"(41.935164383, -87.717281372)"
6340596,HP424787,6/30/2008 9:30,086XX S LAFAYETTE AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,BANK,FALSE,FALSE,622,6,21,44,11,1177447,1847606,2008,2/4/2016 6:33,41.73715785,-87.62546856,"(41.73715785, -87.625468558)"
6340597,HP424967,6/30/2008 13:26,008XX E 79TH ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,TRUE,FALSE,624,6,6,69,26,1183364,1852811,2008,2/4/2016 6:33,41.75130534,-87.60362891,"(41.751305337, -87.603628907)"
6340598,HP425605,6/6/2008 17:00,093XX S INDIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,634,6,6,49,14,1179233,1843139,2008,2/4/2016 6:33,41.72485935,-87.61906104,"(41.724859352, -87.619061036)"
6340599,HP426723,7/1/2008 10:30,082XX S DREXEL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,631,6,8,44,14,1183666,1850623,2008,2/4/2016 6:33,41.7452942,-87.60259033,"(41.745294201, -87.602590331)"
6340600,HP426782,6/30/2008 9:00,085XX S DREXEL AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,632,6,8,44,6,1183713,1848605,2008,2/4/2016 6:33,41.7397555,-87.60248092,"(41.739755496, -87.602480917)"
6340605,HP426871,7/1/2008 11:34,079XX S VERNON AVE,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,624,6,6,44,08B,1180622,1852418,2008,2/4/2016 6:33,41.75029028,-87.61368895,"(41.750290278, -87.613688947)"
6340607,HP426910,6/26/2008 14:00,078XX S WINCHESTER AVE,610,BURGLARY,FORCIBLE ENTRY,CONSTRUCTION SITE,FALSE,FALSE,611,6,18,71,5,1164718,1852752,2008,2/4/2016 6:33,41.75155707,-87.67195902,"(41.751557071, -87.671959015)"
6340608,HP429015,7/2/2008 0:00,030XX W CORTLAND ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1421,14,26,22,6,1155717,1912465,2008,2/4/2016 6:33,41.91560198,-87.70333884,"(41.915601979, -87.703338843)"
6340610,HP428810,7/2/2008 10:43,110XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,513,5,9,49,14,1178209,1831939,2008,2/4/2016 6:33,41.69414828,-87.62315029,"(41.694148281, -87.623150288)"
6340611,HP427055,6/30/2008 8:00,082XX S DREXEL AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,631,6,8,44,5,1183667,1850616,2008,2/4/2016 6:33,41.74527497,-87.60258689,"(41.745274969, -87.602586885)"
6340612,HP427115,7/1/2008 14:15,079XX S MARSHFIELD AVE,880,THEFT,PURSE-SNATCHING,SIDEWALK,FALSE,FALSE,611,6,21,71,6,1166727,1851906,2008,2/4/2016 6:33,41.74919291,-87.66462106,"(41.749192914, -87.66462106)"
6340613,HP427171,7/1/2008 12:00,078XX S LOOMIS BLVD,460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,612,6,17,71,08B,1168361,1852683,2008,2/4/2016 6:33,41.7512901,-87.65861111,"(41.751290104, -87.658611111)"
6340617,HP426509,7/1/2008 8:30,066XX S WOODLAWN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,321,3,5,42,14,1185359,1861128,2008,2/4/2016 6:33,41.77408131,-87.59605707,"(41.774081309, -87.596057073)"
6340618,HP424077,6/29/2008 22:59,016XX W HOWARD ST,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,2422,24,49,1,08B,1163750,1950346,2008,2/4/2016 6:33,42.0193833,-87.67275327,"(42.019383301, -87.67275327)"
6340620,HP425001,6/23/2008 16:37,056XX S WESTERN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,FALSE,TRUE,824,8,16,63,26,1161322,1867544,2008,2/4/2016 6:33,41.79221937,-87.68399455,"(41.79221937, -87.683994549)"
6340621,HP428280,6/2/2008 0:45,077XX S COLFAX AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,421,4,7,43,08A,1194864,1854172,2008,2/4/2016 6:33,41.75476466,-87.56144304,"(41.754764657, -87.561443041)"
6340622,HP428203,7/1/2008 23:10,014XX W 73RD PL,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,734,7,17,67,08B,1167567,1855994,2008,2/4/2016 6:33,41.76039299,-87.66142598,"(41.76039299, -87.661425975)"
6340624,HP427123,7/1/2008 14:30,029XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,1124,11,2,27,16,1156883,1899881,2008,2/4/2016 6:33,41.88104678,-87.69939666,"(41.881046784, -87.699396664)"
6340626,HP413469,6/24/2008 13:50,013XX S LAWNDALE AVE,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,FALSE,FALSE,1011,10,24,29,26,1151919,1893608,2008,2/4/2016 6:33,41.86393215,-87.71778944,"(41.86393215, -87.717789436)"
6340629,HP420828,6/28/2008 6:13,100XX W OHARE ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,TRUE,FALSE,1651,16,41,76,26,1100658,1934241,2008,2/4/2016 6:33,41.97629041,-87.90522722,"(41.976290414, -87.905227221)"
